dataset,threshold,seed,n_train,retention_pct,class_coverage,best_val_acc,best_epoch,label_source,confidence_score,require_clip_agreement
HandriseReadWrite,0.3,45,34522,100.0,3,75.7238,13.0,qwen,pseudo_prob,False
HandriseReadWrite,0.3,46,34522,100.0,3,75.4203,17.0,qwen,pseudo_prob,False
HandriseReadWrite,0.3,47,34522,100.0,3,75.9106,8.0,qwen,pseudo_prob,False
HandriseReadWrite,0.5,43,0,0.0,0,,,qwen,pseudo_prob,False
HandriseReadWrite,0.5,44,0,0.0,0,,,qwen,pseudo_prob,False
HandriseReadWrite,0.5,45,0,0.0,0,,,qwen,pseudo_prob,False
HandriseReadWrite,0.5,46,0,0.0,0,,,qwen,pseudo_prob,False
HandriseReadWrite,0.5,47,0,0.0,0,,,qwen,pseudo_prob,False
HandriseReadWrite,0.6,43,0,0.0,0,,,qwen,pseudo_prob,False
HandriseReadWrite,0.6,44,0,0.0,0,,,qwen,pseudo_prob,False
HandriseReadWrite,0.6,45,0,0.0,0,,,qwen,pseudo_prob,False
HandriseReadWrite,0.6,46,0,0.0,0,,,qwen,pseudo_prob,False
HandriseReadWrite,0.6,47,0,0.0,0,,,qwen,pseudo_prob,False
HandriseReadWrite,0.7,43,0,0.0,0,,,qwen,pseudo_prob,False
HandriseReadWrite,0.7,44,0,0.0,0,,,qwen,pseudo_prob,False
HandriseReadWrite,0.7,45,0,0.0,0,,,qwen,pseudo_prob,False
HandriseReadWrite,0.7,46,0,0.0,0,,,qwen,pseudo_prob,False
HandriseReadWrite,0.7,47,0,0.0,0,,,qwen,pseudo_prob,False
HandriseReadWrite,0.8,43,0,0.0,0,,,qwen,pseudo_prob,False
HandriseReadWrite,0.8,44,0,0.0,0,,,qwen,pseudo_prob,False
HandriseReadWrite,0.8,45,0,0.0,0,,,qwen,pseudo_prob,False
HandriseReadWrite,0.8,46,0,0.0,0,,,qwen,pseudo_prob,False
HandriseReadWrite,0.8,47,0,0.0,0,,,qwen,pseudo_prob,False
HandriseReadWrite,0.9,43,0,0.0,0,,,qwen,pseudo_prob,False
HandriseReadWrite,0.9,44,0,0.0,0,,,qwen,pseudo_prob,False
HandriseReadWrite,0.9,45,0,0.0,0,,,qwen,pseudo_prob,False
HandriseReadWrite,0.9,46,0,0.0,0,,,qwen,pseudo_prob,False
HandriseReadWrite,0.9,47,0,0.0,0,,,qwen,pseudo_prob,False
TeacherBehavior,0.3,43,0,0.0,0,,,qwen,pseudo_prob,False
TeacherBehavior,0.3,44,0,0.0,0,,,qwen,pseudo_prob,False
TeacherBehavior,0.3,45,0,0.0,0,,,qwen,pseudo_prob,False
TeacherBehavior,0.3,46,0,0.0,0,,,qwen,pseudo_prob,False
TeacherBehavior,0.3,47,0,0.0,0,,,qwen,pseudo_prob,False
TeacherBehavior,0.5,43,0,0.0,0,,,qwen,pseudo_prob,False
TeacherBehavior,0.5,44,0,0.0,0,,,qwen,pseudo_prob,False
TeacherBehavior,0.5,45,0,0.0,0,,,qwen,pseudo_prob,False
TeacherBehavior,0.5,46,0,0.0,0,,,qwen,pseudo_prob,False
TeacherBehavior,0.5,47,0,0.0,0,,,qwen,pseudo_prob,False
TeacherBehavior,0.6,43,0,0.0,0,,,qwen,pseudo_prob,False
TeacherBehavior,0.6,44,0,0.0,0,,,qwen,pseudo_prob,False
TeacherBehavior,0.6,45,0,0.0,0,,,qwen,pseudo_prob,False
TeacherBehavior,0.6,46,0,0.0,0,,,qwen,pseudo_prob,False
TeacherBehavior,0.6,47,0,0.0,0,,,qwen,pseudo_prob,False
TeacherBehavior,0.7,43,0,0.0,0,,,qwen,pseudo_prob,False
TeacherBehavior,0.7,44,0,0.0,0,,,qwen,pseudo_prob,False
TeacherBehavior,0.7,45,0,0.0,0,,,qwen,pseudo_prob,False
TeacherBehavior,0.7,46,0,0.0,0,,,qwen,pseudo_prob,False
TeacherBehavior,0.7,47,0,0.0,0,,,qwen,pseudo_prob,False
TeacherBehavior,0.8,43,0,0.0,0,,,qwen,pseudo_prob,False
TeacherBehavior,0.8,44,0,0.0,0,,,qwen,pseudo_prob,False
TeacherBehavior,0.8,45,0,0.0,0,,,qwen,pseudo_prob,False
TeacherBehavior,0.8,46,0,0.0,0,,,qwen,pseudo_prob,False
TeacherBehavior,0.8,47,0,0.0,0,,,qwen,pseudo_prob,False
TeacherBehavior,0.9,43,0,0.0,0,,,qwen,pseudo_prob,False
TeacherBehavior,0.9,44,0,0.0,0,,,qwen,pseudo_prob,False
TeacherBehavior,0.9,45,0,0.0,0,,,qwen,pseudo_prob,False
TeacherBehavior,0.9,46,0,0.0,0,,,qwen,pseudo_prob,False
TeacherBehavior,0.9,47,0,0.0,0,,,qwen,pseudo_prob,False
